Country,Category
AFG,NOT_G77
DZA,NOT_G77
AGO,NOT_G77
ATG,NOT_G77
ARG,NOT_G77
AZE,NOT_G77
BHS,NOT_G77
BHR,NOT_G77
BGD,NOT_G77
BRB,NOT_G77
BLZ,NOT_G77
BEN,NOT_G77
BTN,NOT_G77
BOL,NOT_G77
BWA,NOT_G77
BRA,NOT_G77
BRN,NOT_G77
BFA,NOT_G77
BDI,NOT_G77
KHM,NOT_G77
CMR,NOT_G77
CPV,NOT_G77
CAF,NOT_G77
TCD,NOT_G77
CHL,NOT_G77
CHN,NOT_G77
COL,NOT_G77
COM,NOT_G77
CRI,NOT_G77
CUB,NOT_G77
DJI,NOT_G77
DMA,NOT_G77
DOM,NOT_G77
COD,NOT_G77
ECU,NOT_G77
EGY,NOT_G77
SLV,NOT_G77
GNQ,NOT_G77
ERI,NOT_G77
SWZ,NOT_G77
ETH,NOT_G77
FJI,NOT_G77
GAB,NOT_G77
GMB,NOT_G77
GHA,NOT_G77
GRD,NOT_G77
GTM,NOT_G77
GIN,NOT_G77
GNB,NOT_G77
GUY,NOT_G77
HTI,NOT_G77
HND,NOT_G77
IND,NOT_G77
IDN,NOT_G77
IRN,NOT_G77
IRQ,NOT_G77
CIV,NOT_G77
JAM,NOT_G77
JOR,NOT_G77
KEN,NOT_G77
KIR,NOT_G77
KWT,NOT_G77
LAO,NOT_G77
LBN,NOT_G77
LSO,NOT_G77
LBR,NOT_G77
LBY,NOT_G77
MDG,NOT_G77
MWI,NOT_G77
MYS,NOT_G77
MDV,NOT_G77
MLI,NOT_G77
MHL,NOT_G77
MRT,NOT_G77
MUS,NOT_G77
FSM,NOT_G77
MNG,NOT_G77
MAR,NOT_G77
MOZ,NOT_G77
MMR,NOT_G77
NAM,NOT_G77
NRU,NOT_G77
NPL,NOT_G77
NIC,NOT_G77
NER,NOT_G77
NGA,NOT_G77
PRK,NOT_G77
OMN,NOT_G77
PAK,NOT_G77
PSE,NOT_G77
PAN,NOT_G77
PNG,NOT_G77
PRY,NOT_G77
PER,NOT_G77
PHL,NOT_G77
QAT,NOT_G77
COG,NOT_G77
RWA,NOT_G77
KNA,NOT_G77
LCA,NOT_G77
VCT,NOT_G77
WSM,NOT_G77
STP,NOT_G77
SAU,NOT_G77
SEN,NOT_G77
SYC,NOT_G77
SLE,NOT_G77
SGP,NOT_G77
SLB,NOT_G77
SOM,NOT_G77
ZAF,NOT_G77
SSD,NOT_G77
LKA,NOT_G77
SDN,NOT_G77
SUR,NOT_G77
SYR,NOT_G77
TJK,NOT_G77
TZA,NOT_G77
THA,NOT_G77
TLS,NOT_G77
TGO,NOT_G77
TON,NOT_G77
TTO,NOT_G77
TUN,NOT_G77
TKM,NOT_G77
UGA,NOT_G77
ARE,NOT_G77
URY,NOT_G77
VUT,NOT_G77
VEN,NOT_G77
VNM,NOT_G77
YEM,NOT_G77
ZMB,NOT_G77
ZWE,NOT_G77
_,G77