Country,  Category
AFG, GLOBAL_SOUTH
DZA, GLOBAL_SOUTH
AGO, GLOBAL_SOUTH
ATG, GLOBAL_SOUTH
ARG, GLOBAL_SOUTH
BHS, GLOBAL_SOUTH
BHR, GLOBAL_SOUTH
BGD, GLOBAL_SOUTH
BRB, GLOBAL_SOUTH
BLZ, GLOBAL_SOUTH
BEN, GLOBAL_SOUTH
BTN, GLOBAL_SOUTH
BOL, GLOBAL_SOUTH
BIH, GLOBAL_SOUTH
BWA, GLOBAL_SOUTH
BRA, GLOBAL_SOUTH
BRN, GLOBAL_SOUTH
BFA, GLOBAL_SOUTH
BDI, GLOBAL_SOUTH
KHM, GLOBAL_SOUTH
CMR, GLOBAL_SOUTH
CPV, GLOBAL_SOUTH
CAF, GLOBAL_SOUTH
TCD, GLOBAL_SOUTH
CHL, GLOBAL_SOUTH
CHN, GLOBAL_SOUTH
COL, GLOBAL_SOUTH
COM, GLOBAL_SOUTH
CRI, GLOBAL_SOUTH
CUB, GLOBAL_SOUTH
DJI, GLOBAL_SOUTH
DMA, GLOBAL_SOUTH
DOM, GLOBAL_SOUTH
COD, GLOBAL_SOUTH
ECU, GLOBAL_SOUTH
EGY, GLOBAL_SOUTH
SLV, GLOBAL_SOUTH
GNQ, GLOBAL_SOUTH
ERI, GLOBAL_SOUTH
SWZ, GLOBAL_SOUTH
ETH, GLOBAL_SOUTH
FJI, GLOBAL_SOUTH
GAB, GLOBAL_SOUTH
GMB, GLOBAL_SOUTH
GHA, GLOBAL_SOUTH
GRD, GLOBAL_SOUTH
GTM, GLOBAL_SOUTH
GIN, GLOBAL_SOUTH
GNB, GLOBAL_SOUTH
GUY, GLOBAL_SOUTH
HTI, GLOBAL_SOUTH
HND, GLOBAL_SOUTH
IND, GLOBAL_SOUTH
IDN, GLOBAL_SOUTH
IRN, GLOBAL_SOUTH
IRQ, GLOBAL_SOUTH
CIV, GLOBAL_SOUTH
JAM, GLOBAL_SOUTH
JOR, GLOBAL_SOUTH
KEN, GLOBAL_SOUTH
KIR, GLOBAL_SOUTH
KWT, GLOBAL_SOUTH
LAO, GLOBAL_SOUTH
LBN, GLOBAL_SOUTH
LSO, GLOBAL_SOUTH
LBR, GLOBAL_SOUTH
LBY, GLOBAL_SOUTH
MDG, GLOBAL_SOUTH
MWI, GLOBAL_SOUTH
MYS, GLOBAL_SOUTH
MDV, GLOBAL_SOUTH
MLI, GLOBAL_SOUTH
MHL, GLOBAL_SOUTH
MRT, GLOBAL_SOUTH
MUS, GLOBAL_SOUTH
FSM, GLOBAL_SOUTH
MNG, GLOBAL_SOUTH
MAR, GLOBAL_SOUTH
MOZ, GLOBAL_SOUTH
MMR, GLOBAL_SOUTH
NAM, GLOBAL_SOUTH
NRU, GLOBAL_SOUTH
NPL, GLOBAL_SOUTH
NIC, GLOBAL_SOUTH
NER, GLOBAL_SOUTH
NGA, GLOBAL_SOUTH
PRK, GLOBAL_SOUTH
OMN, GLOBAL_SOUTH
PAK, GLOBAL_SOUTH
PSE, GLOBAL_SOUTH
PAN, GLOBAL_SOUTH
PNG, GLOBAL_SOUTH
PRY, GLOBAL_SOUTH
PER, GLOBAL_SOUTH
PHL, GLOBAL_SOUTH
QAT, GLOBAL_SOUTH
COG, GLOBAL_SOUTH
RWA, GLOBAL_SOUTH
KNA, GLOBAL_SOUTH
LCA, GLOBAL_SOUTH
VCT, GLOBAL_SOUTH
WSM, GLOBAL_SOUTH
STP, GLOBAL_SOUTH
SAU, GLOBAL_SOUTH
SEN, GLOBAL_SOUTH
SYC, GLOBAL_SOUTH
SLE, GLOBAL_SOUTH
SGP, GLOBAL_SOUTH
SLB, GLOBAL_SOUTH
SOM, GLOBAL_SOUTH
ZAF, GLOBAL_SOUTH
SSD, GLOBAL_SOUTH
LKA, GLOBAL_SOUTH
SDN, GLOBAL_SOUTH
SUR, GLOBAL_SOUTH
SYR, GLOBAL_SOUTH
TJK, GLOBAL_SOUTH
TZA, GLOBAL_SOUTH
THA, GLOBAL_SOUTH
TLS, GLOBAL_SOUTH
TGO, GLOBAL_SOUTH
TON, GLOBAL_SOUTH
TTO, GLOBAL_SOUTH
TUN, GLOBAL_SOUTH
TKM, GLOBAL_SOUTH
UGA, GLOBAL_SOUTH
ARE, GLOBAL_SOUTH
URY, GLOBAL_SOUTH
VUT, GLOBAL_SOUTH
VEN, GLOBAL_SOUTH
VNM, GLOBAL_SOUTH
YEM, GLOBAL_SOUTH
ZMB, GLOBAL_SOUTH
ZWE, GLOBAL_SOUTH
GRL, GLOBAL_SOUTH
_, GLOBAL_NORTH