Country,A/HRC/28/L.36,A/HRC/28/L.38,A/HRC/28/L.42,A/HRC/RES/28/1,A/HRC/RES/28/3,A/HRC/RES/28/5,A/HRC/RES/28/7,A/HRC/RES/28/8,A/HRC/RES/28/14,A/HRC/RES/28/17,A/HRC/RES/28/20,A/HRC/RES/28/21,A/HRC/RES/28/22,A/HRC/RES/28/24,A/HRC/RES/28/25,A/HRC/RES/28/26,A/HRC/RES/28/27,A/HRC/29/L.26,A/HRC/29/L.27,A/HRC/29/L.28,A/HRC/29/L.29,A/HRC/29/L.31,A/HRC/29/L.37,A/HRC/29/L.38,A/HRC/29/L.39,A/HRC/29/L.40,A/HRC/RES/29/3,A/HRC/RES/29/10,A/HRC/RES/29/16,A/HRC/RES/29/17,A/HRC/RES/29/22,A/HRC/RES/29/23,A/HRC/RES/29/25,A/HRC/30/L.33,A/HRC/30/L.34,A/HRC/30/L.35,A/HRC/30/L.36,A/HRC/30/L.37,A/HRC/30/L.38,A/HRC/30/L.39,A/HRC/30/L.40,A/HRC/RES/30/2,A/HRC/RES/30/5,A/HRC/RES/30/6,A/HRC/RES/30/10,A/HRC/RES/30/12,A/HRC/RES/30/13,A/HRC/RES/30/15,A/HRC/RES/30/16,A/HRC/RES/30/17,A/HRC/RES/30/29
ALB,0,0,0,0,2,2,0,0,1,0,1,1,1,2,1,1,1,0,0,0,0,0,0,1,4,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,0,0,0
ARE,0,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,0,4,0,1,1,1,2,1,2,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1
ARG,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,4,1,1,1,1,1,2,2,1,0,0,0,0,1,2,2,1,1,1,1,1,1,1,1,1,1,1
BGD,2,1,1,1,2,1,1,1,1,1,2,0,2,1,1,1,1,1,1,1,1,1,1,0,4,0,1,1,2,2,1,2,1,2,1,1,1,0,0,0,0,1,0,1,2,1,1,1,1,1,1
BOL,1,1,1,1,1,1,1,1,2,1,0,0,0,1,1,1,1,3,3,3,3,2,1,0,4,0,1,1,0,0,1,0,1,1,3,3,3,1,1,1,1,1,1,1,0,1,1,2,1,1,1
BRA,1,0,0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,1,4,1,1,1,1,1,2,2,1,1,0,0,0,2,2,0,1,1,1,1,1,1,1,1,1,1,1
BWA,0,0,0,1,1,1,1,1,1,2,1,1,1,2,1,1,2,0,1,1,1,0,0,0,4,0,1,1,1,1,1,1,1,0,1,1,1,0,0,2,2,1,0,1,1,1,1,1,1,1,1
CHN,1,1,1,1,1,1,1,1,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,4,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,2,1,1,1
CIV,2,0,0,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,0,1,0,4,0,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
COG,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,0,2,1,0,4,0,1,1,2,2,1,2,1,2,0,0,0,2,2,2,2,1,1,1,2,1,1,1,1,1,1
CUB,1,1,1,1,1,1,1,1,2,1,0,0,0,1,1,1,1,3,3,3,3,2,3,3,4,3,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,2,1,1,1
DEU,0,0,0,0,2,2,0,0,1,0,1,1,1,2,1,1,1,0,0,0,0,0,0,1,4,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0
DZA,1,2,1,1,1,1,1,1,2,1,0,2,2,1,1,1,1,2,2,2,2,2,1,0,4,0,1,1,0,2,1,2,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
EST,0,0,0,0,2,2,0,0,1,0,1,1,1,2,1,1,1,0,0,0,0,0,0,1,4,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0
ETH,2,1,0,1,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,2,1,0,4,0,1,1,2,2,1,2,2,2,1,1,1,0,0,0,0,1,0,1,2,1,1,1,1,1,1
FRA,0,0,0,0,0,2,0,0,1,0,1,1,1,2,1,1,1,0,0,0,0,0,0,1,4,1,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0
GAB,2,2,2,1,1,1,1,3,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,4,2,1,1,1,1,1,2,1,2,0,0,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1
GBR,0,0,0,0,0,2,0,0,1,0,1,1,1,2,1,1,1,0,0,0,0,0,0,1,4,1,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0
GHA,2,0,0,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,2,2,2,0,2,4,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1
IDN,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,0,4,0,1,1,2,2,1,2,1,1,1,1,1,1,2,2,1,1,0,1,2,1,1,1,1,1,1
IND,2,1,1,1,2,1,1,1,1,1,2,0,2,1,1,1,1,1,1,0,1,1,1,0,4,0,1,1,2,0,1,2,2,2,1,1,1,1,2,1,1,1,0,1,2,1,1,1,1,1,1
IRL,0,0,0,0,1,2,0,0,1,0,1,1,1,2,1,1,1,0,0,0,0,0,0,1,4,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0
JPN,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,1,1,0,0,0,0,0,0,1,4,1,0,2,1,1,0,1,1,0,2,2,1,0,0,0,0,0,0,0,1,0,2,1,2,2,0
KAZ,1,2,2,1,1,1,2,1,1,2,2,0,1,1,1,1,1,0,0,0,0,1,1,2,4,2,1,1,2,0,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1
KEN,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,0,0,1,0,0,1,0,4,0,1,1,2,2,1,1,2,2,2,2,2,0,0,0,0,1,2,1,2,1,1,1,1,1,1
KOR,0,0,0,0,0,2,0,0,1,0,1,1,1,2,1,1,1,0,0,0,0,2,0,1,4,1,0,2,1,1,0,1,1,0,0,0,2,0,0,0,0,0,2,0,1,0,2,1,2,2,0
LVA,0,0,0,0,2,2,0,0,1,0,1,1,1,2,1,1,1,0,0,0,0,0,0,1,4,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0
MAR,0,2,2,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,0,4,0,1,1,1,2,1,2,1,0,2,2,2,0,0,0,0,1,2,1,1,1,1,1,1,1,1
MDV,3,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,0,1,0,4,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,1,2,1,1,1,1,1,1,2,1
MEX,2,0,0,0,1,1,1,2,1,0,1,1,1,1,1,1,1,0,3,0,0,0,0,1,4,1,1,1,1,2,2,1,1,2,0,0,0,0,0,0,0,1,1,2,1,1,2,1,1,1,2
MKD,0,0,1,0,0,2,0,0,1,0,1,1,1,2,1,1,2,0,0,0,0,0,0,2,4,2,0,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0
MNE,0,0,0,0,2,2,0,0,1,0,1,1,1,2,1,1,1,0,0,0,0,0,0,1,4,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0
NAM,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,0,0,2,0,2,1,0,4,0,1,1,2,2,1,2,1,2,0,0,0,2,2,2,2,1,1,1,2,1,1,2,0,1,1
NGA,2,2,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,2,2,1,0,4,0,1,1,2,2,1,2,1,2,1,1,1,1,0,2,2,1,0,1,2,1,1,1,1,1,1
NLD,0,0,0,0,2,2,0,0,1,0,1,1,1,2,1,1,1,0,0,0,0,0,0,1,4,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0
PAK,1,1,1,1,1,1,1,1,1,1,2,0,2,1,1,1,1,1,1,1,1,1,1,0,4,0,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,0,1,2,1,1,2,1,1,1
PRT,0,0,0,0,2,2,0,0,1,0,1,1,1,2,1,1,1,0,0,0,0,0,0,1,4,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,2,0,0
PRY,2,0,0,1,1,1,1,1,1,1,1,1,1,2,1,2,2,0,0,0,0,0,0,1,4,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2
QAT,0,2,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,0,1,0,4,0,1,1,1,2,1,2,1,0,1,1,1,0,0,0,0,1,0,1,1,1,2,1,1,1,1
RUS,1,1,1,1,1,1,1,1,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,4,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,0,1,1,1
SAU,0,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,0,4,0,1,1,1,2,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
SLE,0,0,0,1,1,1,1,1,1,1,1,2,1,2,1,1,1,0,0,0,0,0,2,0,4,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
SLV,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,0,4,0,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1
USA,0,0,0,0,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,4,1,0,2,1,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0
VEN,1,1,1,1,1,1,1,1,2,1,0,0,0,1,1,1,1,3,3,3,3,2,1,0,4,0,1,1,0,0,1,0,1,1,3,3,3,1,1,1,1,1,1,1,0,1,1,0,1,1,1
VNM,2,1,1,1,1,1,1,1,2,1,2,0,0,1,1,1,1,2,2,2,2,2,2,2,4,2,1,1,2,0,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1
ZAF,2,1,1,1,1,1,1,1,2,0,2,2,2,1,1,1,1,0,0,2,0,2,0,1,4,1,1,1,2,2,0,2,1,2,0,0,0,1,1,1,1,1,1,1,2,1,1,0,1,1,1
